candidate	step	seed	bimaxwell_val	candidate_val	diff_bimaxwell_minus_candidate
plann_pr357_kernel_control	2910	3	3.31329	3.30718	+0.006110
plann_pr357_kernel_control	2920	0	3.31069	3.30440	+0.006290
plann_pr357_kernel_control	2920	1	3.31041	3.30447	+0.005940
plann_pr357_kernel_control	2920	2	3.31116	3.30491	+0.006250
plann_pr357_kernel_control	2920	3	3.31177	3.30575	+0.006020
plann_pr357_kernel_control	2925	0	3.30985	3.30376	+0.006090
plann_pr357_kernel_control	2925	1	3.30968	3.30398	+0.005700
plann_pr357_kernel_control	2925	2	3.31045	3.30430	+0.006150
plann_pr357_kernel_control	2925	3	3.31082	3.30503	+0.005790
plann_pr357_kernel_control	2930	0	3.30956	3.30341	+0.006150
plann_pr357_kernel_control	2930	1	3.30932	3.30350	+0.005820
plann_pr357_kernel_control	2930	2	3.31022	3.30413	+0.006090
plann_pr357_kernel_control	2930	3	3.31083	3.30486	+0.005970
plann_pr357_kernel_control	2940	0	3.30775	3.30201	+0.005740
plann_pr357_kernel_control	2940	1	3.30789	3.30219	+0.005700
plann_pr357_kernel_control	2940	2	3.30866	3.30272	+0.005940
plann_pr357_kernel_control	2940	3	3.30905	3.30332	+0.005730
plann_pr357_kernel_control	2950	0	3.30658	3.30071	+0.005870
plann_pr357_kernel_control	2950	1	3.30640	3.30083	+0.005570
plann_pr357_kernel_control	2950	2	3.30728	3.30132	+0.005960
plann_pr357_kernel_control	2950	3	3.30771	3.30195	+0.005760
plann_pr357_kernel_control	2960	0	3.30517	3.29936	+0.005810
plann_pr357_kernel_control	2960	1	3.30508	3.29950	+0.005580
plann_pr357_kernel_control	2960	2	3.30578	3.29997	+0.005810
plann_pr357_kernel_control	2960	3	3.30616	3.30060	+0.005560
plann_pr357_kernel_control	2970	0	3.30355	3.29790	+0.005650
plann_pr357_kernel_control	2970	1	3.30362	3.29813	+0.005490
plann_pr357_kernel_control	2970	2	3.30425	3.29861	+0.005640
plann_pr357_kernel_control	2970	3	3.30475	3.29922	+0.005530
plann_pr357_kernel_control	2975	0	3.30301	3.29752	+0.005490
plann_pr357_kernel_control	2975	1	3.30319	3.29773	+0.005460
plann_pr357_kernel_control	2975	2	3.30378	3.29817	+0.005610
plann_pr357_kernel_control	2975	3	3.30421	3.29871	+0.005500
plann_pr357_kernel_control	2980	0	3.30230	3.29683	+0.005470
plann_pr357_kernel_control	2980	1	3.30256	3.29715	+0.005410
plann_pr357_kernel_control	2980	2	3.30305	3.29746	+0.005590
plann_pr357_kernel_control	2980	3	3.30371	3.29816	+0.005550
plann_pr357_kernel_control	2990	0	3.30128	3.29576	+0.005520
plann_pr357_kernel_control	2990	1	3.30148	3.29615	+0.005330
plann_pr357_kernel_control	2990	2	3.30206	3.29645	+0.005610
plann_pr357_kernel_control	2990	3	3.30269	3.29718	+0.005510
plann_pr357_kernel_control	3000	0	3.30000	3.29460	+0.005400
plann_pr357_kernel_control	3000	1	3.29996	3.29473	+0.005230
plann_pr357_kernel_control	3000	2	3.30068	3.29525	+0.005430
plann_pr357_kernel_control	3000	3	3.30108	3.29588	+0.005200
plann_pr357_kernel_control	3010	0	3.29836	3.29314	+0.005220
plann_pr357_kernel_control	3010	1	3.29847	3.29334	+0.005130
plann_pr357_kernel_control	3010	2	3.29916	3.29390	+0.005260
plann_pr357_kernel_control	3010	3	3.29965	3.29456	+0.005090
plann_pr357_kernel_control	3020	0	3.29659	3.29152	+0.005070
plann_pr357_kernel_control	3020	1	3.29668	3.29179	+0.004890
plann_pr357_kernel_control	3020	2	3.29742	3.29234	+0.005080
plann_pr357_kernel_control	3020	3	3.29786	3.29296	+0.004900
plann_pr357_kernel_control	3025	0	3.29569	3.29076	+0.004930
plann_pr357_kernel_control	3025	1	3.29594	3.29104	+0.004900
plann_pr357_kernel_control	3025	2	3.29653	3.29150	+0.005030
plann_pr357_kernel_control	3025	3	3.29694	3.29216	+0.004780
plann_pr357_kernel_control	3030	0	3.29505	3.29014	+0.004910
plann_pr357_kernel_control	3030	1	3.29522	3.29037	+0.004850
plann_pr357_kernel_control	3030	2	3.29573	3.29086	+0.004870
plann_pr357_kernel_control	3030	3	3.29625	3.29159	+0.004660
plann_pr357_kernel_control	3040	0	3.29378	3.28888	+0.004900
plann_pr357_kernel_control	3040	1	3.29391	3.28914	+0.004770
plann_pr357_kernel_control	3040	2	3.29450	3.28963	+0.004870
plann_pr357_kernel_control	3040	3	3.29488	3.29028	+0.004600
plann_pr357_kernel_control	3050	0	3.29266	3.28793	+0.004730
plann_pr357_kernel_control	3050	1	3.29279	3.28811	+0.004680
plann_pr357_kernel_control	3050	2	3.29340	3.28865	+0.004750
plann_pr357_kernel_control	3050	3	3.29387	3.28930	+0.004570
plann_pr357_kernel_control	3060	0	3.29175	3.28710	+0.004650
plann_pr357_kernel_control	3060	1	3.29191	3.28729	+0.004620
plann_pr357_kernel_control	3060	2	3.29245	3.28782	+0.004630
plann_pr357_kernel_control	3060	3	3.29289	3.28851	+0.004380
plann_pr357_kernel_control	3070	0	3.29029	3.28581	+0.004480
plann_pr357_kernel_control	3070	1	3.29040	3.28601	+0.004390
plann_pr357_kernel_control	3070	2	3.29091	3.28646	+0.004450
plann_pr357_kernel_control	3070	3	3.29131	3.28724	+0.004070
plann_pr357_kernel_control	3075	0	3.28965	3.28517	+0.004480
plann_pr357_kernel_control	3075	1	3.28979	3.28538	+0.004410
plann_pr357_kernel_control	3075	2	3.29029	3.28583	+0.004460
plann_pr357_kernel_control	3075	3	3.29072	3.28657	+0.004150
plann_pr357_kernel_control	3080	0	3.28901	3.28465	+0.004360
plann_pr357_kernel_control	3080	1	3.28910	3.28479	+0.004310
plann_pr357_kernel_control	3080	2	3.28966	3.28533	+0.004330
plann_pr357_kernel_control	3080	3	3.29008	3.28605	+0.004030
plann_pr357_kernel_control	3090	0	3.28799	3.28369	+0.004300
plann_pr357_kernel_control	3090	1	3.28801	3.28384	+0.004170
plann_pr357_kernel_control	3090	2	3.28862	3.28434	+0.004280
plann_pr357_kernel_control	3090	3	3.28905	3.28505	+0.004000
plann_pr357_kernel_control	3100	0	3.28672	3.28253	+0.004190
plann_pr357_kernel_control	3100	1	3.28680	3.28276	+0.004040
plann_pr357_kernel_control	3100	2	3.28736	3.28318	+0.004180
plann_pr357_kernel_control	3100	3	3.28795	3.28401	+0.003940
plann_pr357_kernel_control	3110	0	3.28569	3.28165	+0.004040
plann_pr357_kernel_control	3110	1	3.28579	3.28184	+0.003950
plann_pr357_kernel_control	3110	2	3.28638	3.28219	+0.004190
plann_pr357_kernel_control	3110	3	3.28670	3.28299	+0.003710
