fork	assignment	step	name	weight_frob
1500	0	2250	blocks.1.attn.v.weight	50.44886016845703
1500	0	2250	blocks.1.attn.proj.weight	64.5071792602539
1500	0	2250	blocks.1.mlp.fc.weight	108.89568328857422
1500	0	2250	blocks.1.mlp.proj.weight	82.02986145019531
1500	0	2250	blocks.2.attn.q.weight	58.13215637207031
1500	0	2250	blocks.2.attn.k.weight	49.62096405029297
1500	0	2250	blocks.2.attn.v.weight	64.4674301147461
1500	0	2250	blocks.2.attn.proj.weight	62.21775817871094
1500	0	2250	blocks.2.mlp.fc.weight	109.69353485107422
1500	0	2250	blocks.2.mlp.proj.weight	64.2712631225586
1500	0	2250	blocks.3.attn.q.weight	45.94480514526367
1500	0	2250	blocks.3.attn.k.weight	47.45633316040039
1500	0	2250	blocks.3.attn.v.weight	50.7552490234375
1500	0	2250	blocks.3.attn.proj.weight	57.17442321777344
1500	0	2250	blocks.3.mlp.fc.weight	110.51513671875
1500	0	2250	blocks.3.mlp.proj.weight	64.53047943115234
1500	0	2250	blocks.4.attn.q.weight	47.06085205078125
1500	0	2250	blocks.4.attn.k.weight	55.51770782470703
1500	0	2250	blocks.4.attn.v.weight	50.86039733886719
1500	0	2250	blocks.4.attn.proj.weight	70.95539093017578
1500	0	2250	blocks.4.mlp.fc.weight	129.58267211914062
1500	0	2250	blocks.4.mlp.proj.weight	83.30854034423828
1500	0	2250	blocks.5.attn.q.weight	69.88450622558594
1500	0	2250	blocks.5.attn.k.weight	46.058326721191406
1500	0	2250	blocks.5.attn.v.weight	75.43370819091797
1500	0	2250	blocks.5.attn.proj.weight	47.61370086669922
1500	0	2250	blocks.5.mlp.fc.weight	165.70289611816406
1500	0	2250	blocks.5.mlp.proj.weight	55.82297134399414
1500	0	2250	blocks.6.attn.q.weight	52.580318450927734
1500	0	2250	blocks.6.attn.k.weight	69.7027587890625
1500	0	2250	blocks.6.attn.v.weight	62.75421905517578
1500	0	2250	blocks.6.attn.proj.weight	57.603118896484375
1500	0	2250	blocks.6.mlp.fc.weight	129.63717651367188
1500	0	2250	blocks.6.mlp.proj.weight	56.31797409057617
1500	0	2250	blocks.7.attn.q.weight	55.44745635986328
1500	0	2250	blocks.7.attn.k.weight	47.369041442871094
1500	0	2250	blocks.7.attn.v.weight	62.33767318725586
1500	0	2250	blocks.7.attn.proj.weight	73.0936050415039
1500	0	2250	blocks.7.mlp.fc.weight	130.2118682861328
1500	0	2250	blocks.7.mlp.proj.weight	84.59451293945312
1500	0	2250	blocks.8.attn.q.weight	46.39997863769531
1500	0	2250	blocks.8.attn.k.weight	70.76858520507812
1500	0	2250	blocks.8.attn.v.weight	79.75946807861328
1500	0	2250	blocks.8.attn.proj.weight	57.43892288208008
1500	0	2250	blocks.8.mlp.fc.weight	166.77415466308594
1500	0	2250	blocks.8.mlp.proj.weight	66.83012390136719
1500	0	2250	blocks.9.attn.q.weight	68.97398376464844
1500	0	2250	blocks.9.attn.k.weight	54.05154037475586
1500	0	2250	blocks.9.attn.v.weight	67.21289825439453
1500	0	2250	blocks.9.attn.proj.weight	68.37049102783203
1500	0	2250	blocks.9.mlp.fc.weight	165.8112335205078
1500	0	2250	blocks.9.mlp.proj.weight	58.08102798461914
1500	0	2250	blocks.10.attn.q.weight	70.12787628173828
1500	0	2250	blocks.10.attn.k.weight	53.825199127197266
1500	0	2250	blocks.10.attn.v.weight	85.61219024658203
1500	0	2250	blocks.10.attn.proj.weight	54.6478157043457
1500	0	2250	blocks.10.mlp.fc.weight	112.3656005859375
1500	0	2250	blocks.10.mlp.proj.weight	58.6842155456543
1500	0	2250	blocks.11.attn.q.weight	45.62248229980469
1500	0	2250	blocks.11.attn.k.weight	69.45093536376953
1500	0	2250	blocks.11.attn.v.weight	71.78082275390625
1500	0	2250	blocks.11.attn.proj.weight	64.5495376586914
1500	0	2250	blocks.11.mlp.fc.weight	162.5831756591797
1500	0	2250	blocks.11.mlp.proj.weight	68.33633422851562
1500	1	1750	blocks.0.attn.q.weight	68.01742553710938
1500	1	1750	blocks.0.attn.k.weight	67.2309341430664
1500	1	1750	blocks.0.attn.v.weight	64.35752868652344
1500	1	1750	blocks.0.attn.proj.weight	50.284080505371094
1500	1	1750	blocks.0.mlp.fc.weight	142.3266143798828
1500	1	1750	blocks.0.mlp.proj.weight	56.32979965209961
1500	1	1750	blocks.1.attn.q.weight	52.98761749267578
1500	1	1750	blocks.1.attn.k.weight	51.61376190185547
1500	1	1750	blocks.1.attn.v.weight	63.13536071777344
1500	1	1750	blocks.1.attn.proj.weight	46.403812408447266
1500	1	1750	blocks.1.mlp.fc.weight	126.54434967041016
1500	1	1750	blocks.1.mlp.proj.weight	59.2230224609375
1500	1	1750	blocks.2.attn.q.weight	66.46205139160156
1500	1	1750	blocks.2.attn.k.weight	55.423954010009766
1500	1	1750	blocks.2.attn.v.weight	52.35417938232422
1500	1	1750	blocks.2.attn.proj.weight	50.201988220214844
1500	1	1750	blocks.2.mlp.fc.weight	127.8437271118164
1500	1	1750	blocks.2.mlp.proj.weight	76.88500213623047
1500	1	1750	blocks.3.attn.q.weight	53.89456558227539
1500	1	1750	blocks.3.attn.k.weight	55.49673843383789
1500	1	1750	blocks.3.attn.v.weight	54.98688507080078
1500	1	1750	blocks.3.attn.proj.weight	62.97252655029297
1500	1	1750	blocks.3.mlp.fc.weight	127.74384307861328
1500	1	1750	blocks.3.mlp.proj.weight	77.134033203125
1500	1	1750	blocks.4.attn.q.weight	54.2334098815918
1500	1	1750	blocks.4.attn.k.weight	65.37762451171875
1500	1	1750	blocks.4.attn.v.weight	61.34330749511719
1500	1	1750	blocks.4.attn.proj.weight	53.125152587890625
